"","UOGID","name","my_formula","allocation","formula_diff","pct_diff","rolled_up","pct_diff_rollup"
"147","239999","Maine Nonentitlement",756315,1322743,-566428,-42.82,853906,-35.44
"148","240066","Baltimore",1058801,1688313,-629512,-37.29,1058801,-37.29
"149","249003","Anne Arundel County",133821,161647,-27826,-17.21,0,-100
"150","249005","Baltimore County",429494,326513,102981,31.54,429494,31.54
"151","249031","Montgomery County",532277,367901,164376,44.68,532277,44.68
"152","249033","Prince Georges County",475336,387732,87604,22.59,475336,22.59
"153","249999","Maryland Nonentitlement",1159879,1056568,103311,9.78,1293699,22.44
"154","250282","Boston",2186338,1449423,736915,50.84,2186338,50.84
"155","250396","Cambridge",181473,226064,-44591,-19.72,181473,-19.72
"156","250744","Fall River",137804,234095,-96291,-41.13,137804,-41.13
"157","251284","Lowell",209693,174382,35311,20.25,209693,20.25
"158","251302","Lynn",207887,208122,-235,-0.11,207887,-0.11
"159","251614","New Bedford",139529,224092,-84563,-37.74,139529,-37.74
"160","251650","Newton",108014,159211,-51197,-32.16,0,-100
"161","251992","Quincy",178796,152259,26537,17.43,178796,17.43
"162","252250","Somerville",65551,203461,-137910,-67.78,0,-100
"163","252340","Springfield",440101,319947,120154,37.55,440101,37.55
"164","252880","Worcester",255937,363513,-107576,-29.59,255937,-29.59
"165","259999","Massachusetts Nonentitlement",3168951,4498628,-1329677,-29.56,3342516,-25.7
"166","261638","Dearborn",41831,154947,-113116,-73,0,-100
"167","261698","Detroit",1016744,2838335,-1821591,-64.18,1016744,-64.18
"168","262172","Flint",145664,325669,-180005,-55.27,145664,-55.27
"169","262544","Grand Rapids",222382,316210,-93828,-29.67,222382,-29.67
"170","263222","Kalamazoo",108552,138353,-29801,-21.54,0,-100
"171","263456","Lansing",111236,167841,-56605,-33.73,0,-100
"172","265340","Saginaw",67194,183056,-115862,-63.29,0,-100
"173","269049","Genesee County",86468,154654,-68186,-44.09,0,-100
"174","269099","Macomb County",81570,152906,-71336,-46.65,0,-100
"175","269125","Oakland County",207487,329340,-121853,-37,207487,-37
"176","269161","Washtenaw County",186144,166266,19878,11.96,186144,11.96
"177","269163","Wayne County",148398,443330,-294932,-66.53,148398,-66.53
"178","269999","Michigan Nonentitlement",2227568,4697475,-2469907,-52.58,2724418,-42
"179","271266","Duluth",109550,198963,-89413,-44.94,0,-100
"180","273120","Minneapolis",814723,940966,-126243,-13.42,814723,-13.42
"181","274164","St Paul",470339,574696,-104357,-18.16,470339,-18.16
"182","279037","Dakota County",133083,150546,-17463,-11.6,0,-100
"183","279053","Hennepin County",277625,227202,50423,22.19,277625,22.19
"184","279137","St Louis County",82352,161676,-79324,-49.06,0,-100
"185","279999","Minnesota Nonentitlement",1308182,2064352,-756170,-36.63,1633167,-20.89
"186","280726","Jackson",164357,152848,11509,7.53,164357,7.53
"187","289999","Mississippi Nonentitleme",1149320,2233204,-1083884,-48.53,1149320,-48.53
"188","292670","Kansas City",428126,663295,-235169,-35.45,428126,-35.45
"189","294626","St Louis",488475,1473173,-984698,-66.84,488475,-66.84
"190","299189","St Louis County",278924,449802,-170878,-37.99,278924,-37.99
"191","299999","Missouri Nonentitlement",1788110,2559566,-771456,-30.14,1788110,-30.14
"192","309999","Montana Nonentitlement",766599,673738,92861,13.78,766599,13.78
"193","311710","Lincoln",259650,144736,114914,79.4,259650,79.4
"194","312208","Omaha",390916,386724,4192,1.08,390916,1.08
"195","319999","Nebraska Nonentitlement",435870,941814,-505944,-53.72,435870,-53.72
"196","320108","Las Vegas",978945,423286,555659,131.27,978945,131.27
"197","320138","North Las Vegas",371499,170642,200857,117.71,371499,117.71
"198","320150","Reno",264340,173783,90557,52.11,264340,52.11
"199","329003","Clark County",1339291,602765,736526,122.19,1339291,122.19
"200","329999","Nevada Nonentitlement",536316,420810,115506,27.45,536316,27.45
"201","330930","Manchester",149017,151302,-2285,-1.51,149017,-1.51
"202","339999","New Hampshire Nonentitlement",449056,863130,-414074,-47.97,449056,-47.97
"203","340414","Camden",145395,196244,-50849,-25.91,145395,-25.91
"204","340798","Elizabeth",312116,212254,99862,47.05,312116,47.05
"205","341464","Jersey City",313046,463919,-150873,-32.52,313046,-32.52
"206","342190","Newark",519456,586879,-67423,-11.49,519456,-11.49
"207","342454","Passaic",260547,145776,114771,78.73,260547,78.73
"208","342466","Paterson",249521,198039,51482,26,249521,26
"209","343216","Trenton",161891,213526,-51635,-24.18,161891,-24.18
"210","349003","Bergen County",335923,736329,-400406,-54.38,335923,-54.38
"211","349007","Camden County",141522,192421,-50899,-26.45,141522,-26.45
"212","349013","Essex County",285465,414730,-129265,-31.17,285465,-31.17
"213","349017","Hudson County",167703,166164,1539,0.93,167703,0.93
"214","349023","Middlesex County",155410,146045,9365,6.41,155410,6.41
"215","349025","Monmouth County",205005,198130,6875,3.47,205005,3.47
"216","349027","Morris County",152314,153439,-1125,-0.73,152314,-0.73
"217","349039","Union County",225008,361544,-136536,-37.76,225008,-37.76
"218","349999","New Jersey Nonentitlement",2408847,2772454,-363607,-13.11,2408847,-13.11
"219","350012","Albuquerque",477227,347265,129962,37.42,477227,37.42
"220","359999","New Mexico Nonentitlement",675836,1105350,-429514,-38.86,675836,-38.86
"221","360040","Albany",140941,276809,-135868,-49.08,140941,-49.08
"222","360556","Binghamton",46572,156982,-110410,-70.33,0,-100
"223","360784","Buffalo",277349,1137467,-860118,-75.62,277349,-75.62
"224","363160","Islip Town",168970,141470,27500,19.44,168970,19.44
"225","364436","New York",29011612,13625907,15385705,112.92,29011612,112.92
"226","364448","Niagara Falls",38324,201784,-163460,-81.01,0,-100
"227","365544","Rochester",256374,701419,-445045,-63.45,256374,-63.45
"228","365848","Schenectady",93793,185888,-92095,-49.54,0,-100
"229","366376","Syracuse",190477,414429,-223952,-54.04,190477,-54.04
"230","366468","Tonawanda Town",24162,136035,-111873,-82.24,0,-100
"231","366500","Troy",67419,148644,-81225,-54.64,0,-100
"232","366612","Utica",44600,195475,-150875,-77.18,0,-100
"233","367260","Yonkers",245169,284649,-39480,-13.87,245169,-13.87
