Geo Code,State,NAME,PRN2010
063210,CA,SAN DIEGO,"5,132,436"
063228,CA,SAN FRANCISCO,"7,049,539"
063258,CA,SAN JOSE,"3,438,704"
063276,CA,SAN LEANDRO,"92,463"
063294,CA,SAN MARCOS CITY,"89,119"
063312,CA,SAN MATEO,"100,227"
063342,CA,SANTA ANA,"2,354,401"
063348,CA,SANTA BARBARA,"136,939"
063354,CA,SANTA CLARA,"137,744"
063356,CA,SANTA CLARITA,"143,920"
063360,CA,SANTA CRUZ,"77,395"
063372,CA,SANTA MARIA,"161,701"
063384,CA,SANTA MONICA,"174,406"
063396,CA,SANTA ROSA,"159,616"
063408,CA,SANTEE,"40,144"
063444,CA,SEASIDE,"51,784"
063480,CA,SIMI VALLEY,"92,048"
063528,CA,SOUTH GATE,"718,510"
063564,CA,SOUTH SAN FRANCISCO,"76,499"
063624,CA,STOCKTON,"1,432,056"
063660,CA,SUNNYVALE,"157,259"
063732,CA,THOUSAND OAKS,"86,064"
063744,CA,TORRANCE,"149,340"
063768,CA,TULARE,"90,518"
063798,CA,TURLOCK,"94,889"
063804,CA,TUSTIN,"102,756"
063846,CA,UNION CITY,"81,872"
063852,CA,UPLAND,"89,698"
063858,CA,VACAVILLE,"70,699"
063876,CA,VALLEJO,"148,777"
063888,CA,SAN BUENAVENTURA,"110,445"
063900,CA,VICTORVILLE,"117,972"
063918,CA,VISALIA,"156,018"
063924,CA,VISTA,"150,713"
063942,CA,WALNUT CREEK,"40,278"
063966,CA,WATSONVILLE,"108,919"
064002,CA,WEST COVINA,"151,103"
064014,CA,WESTMINSTER,"157,968"
064074,CA,WHITTIER,"119,226"
064134,CA,WOODLAND,"73,964"
064158,CA,YORBA LINDA,"34,691"
064176,CA,YUBA CITY,"70,405"
069001,CA,ALAMEDA COUNTY,"668,366"
069003,CA,Alpine County,"8,340"
069005,CA,Amador County,"58,479"
069007,CA,Butte County,"200,324"
069009,CA,Calaveras County,"62,606"
069011,CA,Colusa County,"46,248"
069013,CA,CONTRA COSTA COUNT,"1,178,673"
069015,CA,Del Norte County,"47,158"
069017,CA,El Dorado County,"175,918"
069019,CA,FRESNO COUNTY,"1,358,920"
069021,CA,Glenn County,"72,983"
069023,CA,Humboldt County,"359,352"
069025,CA,Imperial County,"254,916"
069027,CA,Inyo County,"35,709"
069029,CA,KERN COUNTY,"1,726,889"
069031,CA,Kings County,"173,552"
069033,CA,Lake County,"106,175"
069035,CA,Lassen County,"65,093"
069037,CA,LOS ANGELES COUNTY,"10,118,704"
069039,CA,Madera County,"130,780"
069041,CA,MARIN COUNTY,"203,353"
069043,CA,Mariposa County,"29,090"
069045,CA,Mendocino County,"186,723"
069047,CA,Merced County,"343,651"
069049,CA,Modoc County,"33,637"
069051,CA,Mono County,"19,305"
069053,CA,Monterey County,"339,390"
069055,CA,Napa County,"92,956"
069057,CA,Nevada County,"146,136"
069059,CA,ORANGE COUNTY,"1,287,729"
069061,CA,Placer County,"177,150"
069063,CA,Plumas County,"49,862"
069065,CA,RIVERSIDE COUNTY,"3,030,616"
069067,CA,SACRAMENTO COUNTY,"1,992,254"
069069,CA,San Benito County,"83,287"
069071,CA,SAN BERNARDINO COU,"2,442,120"
069073,CA,SAN DIEGO COUNTY,"1,604,349"
069077,CA,SAN JOAQUIN COUNTY,"957,014"
069079,CA,SAN LUIS OBISPO COUN,"714,002"
069081,CA,SAN MATEO COUNTY,"969,074"
069083,CA,SANTA BARBARA COUN,"690,122"
069085,CA,SANTA CLARA COUNTY,"595,168"
069087,CA,Santa Cruz County,"254,437"
069089,CA,Shasta County,"129,265"
069091,CA,Sierra County,"18,525"
069093,CA,Siskiyou County,"139,975"
069095,CA,Solano County,"108,124"
069097,CA,SONOMA COUNTY,"676,972"
069099,CA,STANISLAUS COUNTY,"851,049"
069101,CA,Sutter County,"62,881"
069103,CA,Tehama County,"110,821"
069105,CA,Trinity County,"27,971"
069107,CA,Tulare County,"545,029"
069109,CA,Tuolumne County,"84,374"
