KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
122370,,Palm Beach Gardens,FL,228608,$0,0,$0,$0
122374,,Palm Coast,FL,487895,$0,0,$0,$0
122406,,Panama City,FL,353462,$0,0,$0,$0
122448,,Pembroke Pines,FL,880700,$0,0,$0,$0
122466,,Pensacola,FL,750779,$0,0,$0,$0
122502,,Pinellas Park,FL,379059,$0,0,$0,$0
122514,,Plantation,FL,510988,$0,0,$0,$0
122538,,Pompano Beach,FL,1007279,"$402,495",0,$0,$0
122568,,Port Orange,FL,347231,$0,0,$0,$0
122586,,Port St Lucie,FL,1118415,$0,0,"$683,109",$0
122700,,St. Cloud City,FL,319076,$0,0,$0,$0
122724,,St Petersburg,FL,1780777,"$839,730",150543,$0,$0
122754,,Sanford,FL,478255,$0,0,$0,$0
122766,12C021,Sarasota,FL,418787,"$827,141",0,"$608,118",$0
122808,,Sebastian city,FL,123674,$0,0,$0,$0
122958,,Sunrise,FL,670780,$0,0,$0,$0
123000,,Tallahassee,FL,1852209,"$876,318",160192,$0,$0
123006,,Tamarac,FL,399552,$0,0,$0,$0
123012,,Tampa,FL,3179489,"$1,559,724",268087,"$3,985,513",$0
123048,,Titusville,FL,303471,$0,0,$0,$0
123213,,Wellington,FL,249868,$0,0,$0,$0
123249,,Weston City,FL,352944,$0,0,$0,$0
123252,,West Palm Beach,FL,943823,"$434,602",0,"$3,243,252",$0
129009,12C020,Brevard County,FL,1364124,"$1,185,557",0,$0,$0
129011,12C140,Broward County,FL,2721594,"$3,467,009",231550,$0,$0
129021,,Collier County,FL,2500693,"$633,746",200352,$0,$0
129031,,Jacksonville-Duval Count,FL,6289951,"$2,948,009",536560,"$2,634,349",$0
129033,12C114,Escambia County,FL,1434463,"$1,094,533",0,$0,$0
129057,,Hillsborough County,FL,7028761,"$2,542,816",590805,$0,$0
129069,,Lake County,FL,1299149,$0,0,$0,$0
129071,,Lee County,FL,3047518,"$938,598",255297,$0,$0
129081,,Manatee County,FL,1873924,"$623,566",160459,$0,$0
129083,12C228,Marion County,FL,1923601,"$814,313",159401,$0,$0
129086,,Miami-Dade County,FL,10886156.61,"$4,524,114",1082542,$0,$0
129095,,Orange County,FL,6680788,"$2,565,007",552240,$0,$0
129097,12C996,Osceola County,FL,1588255,"$893,973",153121,$0,$0
129099,,Palm Beach County,FL,6406686,"$2,145,072",546649,$0,$0
129101,12C985,Pasco County,FL,2754349,"$1,051,076",246524,$0,$0
129103,12C018,Pinellas County,FL,2439396,"$1,267,227",206284,$0,$0
129105,,Polk County,FL,3543000,"$1,204,215",296662,$0,$0
129109,,St. Johns County,FL,930264,$0,0,$0,$0
129115,,Sarasota County,FL,1678399,$0,140484,$0,$0
129117,,Seminole County,FL,1953684,"$699,228",161772,$0,$0
129127,,Volusia County,FL,1836537,"$736,327",157517,$0,$0
129999,,Florida Nonentitlement,FL,27511368,"$17,881,000",5500348,"$4,176,829","$9,414,324"
12C972,12C972,CNSRT-St. Lucie County,FL,0,"$950,224",0,$0,$0
130054,,Albany,GA,852306,"$456,215",0,$0,$0
130168,,Athens-Clarke County,GA,1360408,"$555,660",0,$0,$0
130174,,Atlanta,GA,7139553,"$1,967,828",609670,"$23,000,301",$0
130192,,Augusta-Richmond County,GA,1780877,"$911,628",150447,"$1,055,049",$0
130444,,Brunswick,GA,363427,$0,0,$0,$0
130750,,Columbus,GA,1574126,"$889,638",0,$0,$0
130882,,Dalton,GA,410181,$0,0,$0,$0
131314,,Gainesville,GA,498567,$0,0,$0,$0
131566,,Hinesville,GA,215576,$0,0,$0,$0
131968,,Macon,GA,1866847,"$789,569",155727,$0,$0
131998,,Marietta,GA,506879,$0,0,$0,$0
132814,,Rome,GA,425407,$0,0,$0,$0
132832,,Roswell,GA,473702,$0,0,$0,$0
132890,,Sandy Springs City,GA,627731,$0,0,$0,$0
132916,,Savannah,GA,2287739,"$841,623",192273,$0,$0
133354,,Valdosta,GA,668771,$0,0,$0,$0
133432,,Warner Robins,GA,661428,$0,0,$0,$0
139057,,Cherokee County,GA,1254884,$0,0,$0,$0
139063,,Clayton County,GA,2577403,"$1,018,765",223370,$0,$0
139067,13C807,Cobb County,GA,3590465,"$1,439,077",286255,$0,$0
139089,,De Kalb County,GA,5260167,"$2,156,360",445432,$0,$0
139121,,Fulton County,GA,1896494,"$793,500",162596,$0,$0
139135,,Gwinnett County,GA,5343454,"$1,950,049",482817,$0,$0
139151,,Henry County,GA,1167297,$0,0,$0,$0
139999,,Georgia Nonentitlement,GA,41142882,"$21,049,794",4433278,"$3,434,493","$5,277,949"
150001,,Hawaii County,HI,2646713,$0,0,$0,$0
150002,,Kauai County,HI,695071,$0,0,$0,$0
150003,,Maui County,HI,1830988,$0,0,$0,$0
150144,,Honolulu,HI,8018590,"$2,835,738",681808,"$635,213",$0
159999,,Hawaii Nonentitlement,HI,0,"$3,005,732",449445,"$266,237","$3,000,000"
160102,,Boise,ID,1367330,"$720,129",0,$0,$0
160138,,Caldwell City,ID,481039,$0,0,$0,$0
160198,,Coeur D'Alene,ID,329815,$0,0,$0,$0
160510,,Idaho Falls,ID,399774,$0,0,$0,$0
160618,,Lewiston,ID,237429,$0,0,$0,$0
160684,,Meridian,ID,424162,$0,0,$0,$0
160762,,Nampa,ID,796464,$0,0,$0,$0
160906,,Pocatello,ID,441414,$0,0,$0,$0
169999,,Idaho Nonentitlement,ID,8156250,"$4,915,137",1074750,$0,"$3,000,000"
170222,,Arlington Heights,IL,269344,$0,0,$0,$0
170342,,Aurora,IL,1550613,"$688,020",0,$0,$0
170606,,Berwyn,IL,1279184,$0,0,$0,$0
170660,,Bloomington,IL,542951,$0,0,$0,$0
171218,,Champaign,IL,855190,$0,0,$0,$0
171296,,Chicago,IL,78262773,"$18,935,452",6695179,"$10,038,656",$0
171332,,Cicero,IL,1718626,$0,144779,$0,$0
171692,,Danville,IL,971322,$0,0,$0,$0
171716,,Decatur,IL,1411581,"$425,163",0,$0,$0
171746,,Dekalb,IL,439129,$0,0,$0,$0
171776,,Des Plaines,IL,302509,$0,0,$0,$0
172094,,Elgin,IL,865607,$0,0,$0,$0
172238,,Evanston,IL,1803432,"$355,216",151731,$0,$0
173228,,Hoffman Estates,IL,245931,$0,0,$0,$0
173480,,Joliet,IL,932157,$0,0,$0,$0
173540,,Kankakee,IL,563741,$0,0,$0,$0
174596,,Moline,IL,772647,$0,0,$0,$0
174734,,Mount Prospect,IL,252222,$0,0,$0,$0
174806,,Naperville,IL,541270,$0,0,$0,$0
175010,,Normal,IL,397148,$0,0,$0,$0
175148,,Oak Lawn,IL,314485,$0,0,$0,$0
175154,,Oak Park,IL,1633190,$0,143061,$0,$0
175364,,Palatine Village,IL,476996,$0,0,$0,$0
175520,,Pekin,IL,410008,$0,0,$0,$0
175526,,Peoria,IL,1766783,"$655,929",145529,$0,$0
175808,,Rantoul,IL,337165,$0,0,$0,$0
176000,,Rockford,IL,2101348,"$895,627",180781,$0,$0
176006,,Rock Island,IL,1051868,$0,0,$0,$0
176300,,Schaumburg Village,IL,342147,$0,0,$0,$0
176498,,Skokie,IL,609798,$0,0,$0,$0
176648,,Springfield,IL,1263055,"$560,294",0,$0,$0
177122,17C305,Urbana,IL,442063,"$735,645",0,$0,$0
177404,,Waukegan,IL,854967,$0,0,$0,$0
179031,17C104,Cook County,IL,10630363,"$6,261,226",869683,$0,$0
179043,17C105,Du Page County,IL,3814372,"$1,662,767",300407,$0,$0
179089,17C236,Kane County,IL,1321505,"$845,914",0,$0,$0
179097,17C010,Lake County,IL,2809317,"$1,509,922",224137,$0,$0
179111,,Mchenry County,IL,1423178,"$563,775",0,$0,$0
179119,17C986,Madison County,IL,2881174,"$852,920",0,$0,$0
179163,17C206,St Clair County,IL,3543252,"$1,038,559",0,$0,$0
179197,17C011,Will County,IL,2083381,"$1,187,295",142340,$0,$0
179999,,Illinois Nonentitlement,IL,29192836,"$15,391,165",4935064,"$1,734,635","$8,575,518"
180084,,Anderson,IN,873479,"$307,887",0,$0,$0
180246,,Bloomington,IN,845710,"$500,152",0,$0,$0
180624,,Columbus,IN,282082,$0,0,$0,$0
180846,,East Chicago,IN,1300482,"$281,499",0,$0,$0
180912,,Elkhart,IN,749336,$0,0,$0,$0
180954,,Evansville,IN,2608688,"$689,459",222806,$0,$0
181014,,Fort Wayne,IN,1976785,"$1,000,397",166178,$0,$0
181104,,Gary,IN,3291062,"$532,546",279012,$0,$0
181158,,Goshen,IN,254886,$0,0,$0,$0
181230,,Greenwood,IN,330444,$0,0,$0,$0
181272,,Hammond,IN,2097067,"$441,958",181223,$0,$0
181404,,Indianapolis,IN,9217392,"$3,959,937",780096,"$1,416,548",$0
181536,,Kokomo,IN,810216,$0,0,$0,$0
181566,18C207,Lafayette,IN,653804,"$777,073",0,$0,$0
181602,,La Porte,IN,455630,$0,0,$0,$0
181884,,Michigan City,IN,660257,$0,0,$0,$0
181950,,Mishawaka,IN,465290,$0,0,$0,$0
182100,,Muncie,IN,1239435,"$478,866",0,$0,$0
182130,,New Albany,IN,671354,$0,0,$0,$0
182886,18C017,South Bend,IN,2507599,"$920,497",218253,$0,$0
183042,,Terre Haute,IN,1530486,"$398,179",0,$0,$0
183282,,West Lafayette,IN,426300,$0,0,$0,$0
189057,,Hamilton County,IN,1032481,$0,0,$0,$0
189089,,Lake County,IN,1541956,"$594,929",0,$0,$0
