Geo_Code,STA,NAME,2014 PPRN
059081,AR,Little River County,"$23,664"
059083,AR,Logan County,"$66,277"
059085,AR,Lonoke County,"$94,910"
059087,AR,Madison County,"$33,113"
059089,AR,Marion County,"$30,671"
059091,AR,Miller County,"$20,858"
059093,AR,Mississippi County,"$127,138"
059095,AR,Monroe County,"$20,752"
059097,AR,Montgomery County,"$24,373"
059099,AR,Nevada County,"$22,052"
059101,AR,Newton County,"$29,724"
059103,AR,Ouachita County,"$69,984"
059105,AR,Perry County,"$17,445"
059107,AR,Phillips County,"$73,697"
059109,AR,Pike County,"$25,973"
059111,AR,Poinsett County,"$63,470"
059113,AR,Polk County,"$41,589"
059115,AR,Pope County,"$103,864"
059117,AR,Prairie County,"$26,844"
059119,AR,Pulaski County,"$131,391"
059121,AR,Randolph County,"$34,775"
059123,AR,St. Francis County,"$67,455"
059125,AR,Saline County,"$142,478"
059127,AR,Scott County,"$36,109"
059129,AR,Searcy County,"$34,777"
059131,AR,Sebastian County,"$57,397"
059133,AR,Sevier County,"$49,619"
059135,AR,Sharp County,"$33,895"
059137,AR,Stone County,"$23,344"
059139,AR,Union County,"$110,742"
059141,AR,Van Buren County,"$37,581"
059143,AR,Washington County,"$110,601"
059145,AR,White County,"$125,436"
059147,AR,Woodruff County,"$20,496"
059149,AR,Yell County,"$69,136"
060012,CA,Alameda,"$258,503"
060030,CA,Alhambra,"$194,594"
060078,CA,Anaheim,"$2,841,565"
060102,CA,Antioch,"$167,517"
060108,CA,Apple Valley,"$147,665"
060228,CA,Bakersfield,"$2,094,407"
060234,CA,Baldwin Park,"$265,264"
060288,CA,Bellflower,"$201,551"
060324,CA,Berkeley,"$1,612,015"
060450,CA,Buena Park,"$181,479"
060456,CA,Burbank,"$228,970"
060516,CA,Camarillo,"$70,082"
060564,CA,Carlsbad,"$103,014"
060594,CA,Carson,"$178,215"
060624,CA,Cathedral City,"$124,960"
060654,CA,Cerritos,"$60,199"
060684,CA,Chico,"$195,248"
060708,CA,Chino,"$111,034"
060709,CA,Chino Hills,"$76,733"
060720,CA,Chula Vista,"$1,143,439"
060726,CA,Citrus Heights,"$135,567"
060756,CA,Clovis City,"$134,842"
060804,CA,Compton,"$1,104,144"
060810,CA,Concord,"$213,443"
060828,CA,Corona,"$272,432"
060846,CA,Costa Mesa,"$266,715"
060906,CA,Cupertino City,"$78,928"
060930,CA,Daly City,"$229,106"
060942,CA,Davis,"$151,913"
060960,CA,Delano City,"$147,672"
061032,CA,Downey,"$264,791"
061116,CA,El Cajon,"$253,979"
061122,CA,El Centro,"$120,140"
061146,CA,Elk Grove,"$172,785"
061152,CA,El Monte,"$1,370,663"
061212,CA,Encinitas,"$70,285"
061230,CA,Escondido,"$350,501"
061266,CA,Fairfield,"$167,249"
061332,CA,Fontana,"$1,231,909"
061380,CA,Fountain Valley,"$68,966"
061404,CA,Fremont,"$289,299"
061410,CA,Fresno,"$3,989,874"
061416,CA,Fullerton,"$323,137"
061428,CA,Gardena,"$153,708"
061440,CA,Garden Grove,"$1,350,042"
061452,CA,Gilroy City,"$84,636"
061464,CA,Glendale,"$1,349,525"
061470,CA,Glendora City,"$50,069"
061476,CA,Goleta,"$48,929"
061566,CA,Hanford,"$105,880"
061596,CA,Hawthorne,"$298,387"
061602,CA,Hayward,"$314,793"
061614,CA,Hemet,"$177,309"
061638,CA,Hesperia,"$208,272"
061692,CA,Huntington Beach,"$240,229"
061698,CA,Huntington Park,"$883,016"
061728,CA,Indio City,"$230,648"
061740,CA,Inglewood,"$1,029,127"
061750,CA,Irvine,"$292,806"
061854,CA,Laguna Niguel,"$59,022"
061860,CA,La Habra,"$169,434"
061869,CA,Lake Forest,"$105,316"
061870,CA,Lake Elsinore,"$91,519"
061890,CA,Lakewood,"$112,263"
061896,CA,La Mesa,"$85,652"
061914,CA,Lancaster,"$351,895"
062034,CA,Livermore,"$89,440"
062046,CA,Lodi,"$160,026"
062088,CA,Long Beach,"$4,210,642"
062118,CA,Los Angeles,"$36,681,042"
062148,CA,Lynwood,"$285,518"
062166,CA,Madera,"$218,387"
062240,CA,Menifee,"$98,791"
062250,CA,Merced,"$241,387"
062274,CA,Milpitas City,"$99,246"
062286,CA,Mission Viejo,"$100,190"
062292,CA,Modesto,"$1,186,434"
062328,CA,Montebello,"$182,103"
062334,CA,Monterey,"$48,602"
062340,CA,Monterey Park,"$146,328"
062367,CA,Moreno Valley,"$472,070"
062382,CA,Mountain View,"$127,305"
062406,CA,Napa City,"$164,835"
062412,CA,National City,"$197,813"
062454,CA,Newport Beach,"$89,074"
062490,CA,Norwalk,"$272,026"
062508,CA,Oakland,"$5,051,281"
062532,CA,Oceanside,"$822,165"
062556,CA,Ontario,"$1,205,836"
062568,CA,Orange,"$289,165"
062622,CA,Oxnard,"$1,436,630"
062658,CA,Palmdale,"$330,734"
062670,CA,Palm Desert,"$71,931"
062676,CA,Palm Springs,"$79,049"
062682,CA,Palo Alto,"$109,048"
062700,CA,Paradise,"$40,098"
062706,CA,Paramount City,"$202,969"
062724,CA,Pasadena,"$1,221,093"
062754,CA,Perris City,"$165,353"
062760,CA,Petaluma,"$71,147"
062766,CA,Pico Rivera,"$164,175"
062790,CA,Pittsburg,"$137,168"
062826,CA,Pleasanton City,"$61,022"
062850,CA,Pomona,"$1,415,071"
062862,CA,Porterville,"$165,961"
062928,CA,Rancho Cordova City,"$142,295"
062930,CA,Rancho Cucamonga,"$204,335"
062949,CA,Rancho Santa Margarita,"$50,508"
062958,CA,Redding,"$178,550"
062964,CA,Redlands,"$102,289"
062970,CA,Redondo Beach,"$67,654"
062976,CA,Redwood City,"$171,952"
062988,CA,Rialto,"$267,509"
063000,CA,Richmond,"$259,515"
063048,CA,Riverside,"$1,896,210"
063054,CA,Rocklin City,"$45,957"
063102,CA,Rosemead,"$173,300"
