Geo Code,City,State,FY 2016 PPRN
061860,La Habra,CA,"$204,705"
061869,Lake Forest,CA,"$101,897"
061870,Lake Elsinore,CA,"$113,171"
061890,Lakewood,CA,"$143,962"
061896,La Mesa,CA,"$99,476"
061914,Lancaster,CA,"$350,855"
062034,Livermore,CA,"$90,773"
062046,Lodi,CA,"$163,695"
062088,Long Beach,CA,"$4,088,787"
062118,Los Angeles,CA,"$36,207,746"
062148,Lynwood,CA,"$306,930"
062166,Madera,CA,"$239,525"
062240,Menifee,CA,"$129,925"
062250,Merced,CA,"$246,384"
062274,Milpitas City,CA,"$105,008"
062286,Mission Viejo,CA,"$107,941"
062292,Modesto,CA,"$1,339,782"
062328,Montebello,CA,"$177,779"
062334,Monterey,CA,"$51,428"
062340,Monterey Park,CA,"$166,852"
062367,Moreno Valley,CA,"$1,464,214"
062382,Mountain View,CA,"$143,796"
062406,Napa City,CA,"$170,827"
062412,National City,CA,"$209,080"
062454,Newport Beach,CA,"$96,487"
062490,Norwalk,CA,"$304,882"
062508,Oakland,CA,"$5,153,408"
062532,Oceanside,CA,"$876,398"
062556,Ontario,CA,"$1,295,777"
062568,Orange,CA,"$304,147"
062622,Oxnard,CA,"$1,545,160"
062658,Palmdale,CA,"$370,065"
062670,Palm Desert,CA,"$71,924"
062676,Palm Springs,CA,"$91,581"
062682,Palo Alto,CA,"$118,076"
062700,Paradise,CA,"$46,889"
062706,Paramount City,CA,"$224,104"
062724,Pasadena,CA,"$1,295,691"
062754,Perris City,CA,"$246,915"
062760,Petaluma,CA,"$87,041"
062766,Pico Rivera,CA,"$173,949"
062790,Pittsburg,CA,"$155,310"
062802,Placentia,CA,"$118,919"
062826,Pleasanton City,CA,"$71,766"
062850,Pomona,CA,"$1,458,026"
062862,Porterville,CA,"$177,117"
062928,Rancho Cordova City,CA,"$147,525"
062930,Rancho Cucamonga,CA,"$209,135"
062949,Rancho Santa Margarita,CA,"$53,597"
062958,Redding,CA,"$185,637"
062970,Redondo Beach,CA,"$71,034"
062976,Redwood City,CA,"$185,102"
062988,Rialto,CA,"$303,799"
063000,Richmond,CA,"$286,249"
063048,Riverside,CA,"$2,171,360"
063054,Rocklin City,CA,"$69,579"
063102,Rosemead,CA,"$172,743"
063108,Roseville,CA,"$158,387"
063144,Sacramento,CA,"$3,142,753"
063162,Salinas,CA,"$1,434,834"
063180,San Bernardino,CA,"$2,273,387"
063198,San Clemente,CA,"$88,440"
063210,San Diego,CA,"$7,992,149"
063228,San Francisco,CA,"$11,952,143"
063258,San Jose,CA,"$5,986,422"
063276,San Leandro,CA,"$167,672"
063294,San Marcos City,CA,"$156,566"
063312,San Mateo,CA,"$175,064"
063342,Santa Ana,CA,"$3,938,912"
063348,Santa Barbara,CA,"$214,391"
063354,Santa Clara,CA,"$229,081"
063356,Santa Clarita,CA,"$300,171"
063360,Santa Cruz,CA,"$133,704"
063372,Santa Maria,CA,"$354,663"
063384,Santa Monica,CA,"$269,664"
063396,Santa Rosa,CA,"$354,004"
063408,Santee,CA,"$69,602"
063444,Seaside,CA,"$101,149"
063480,Simi Valley,CA,"$153,515"
