Geo Code,Jurisdiction,State,FY 2015 PPRN
059081,Little River County,AR,"$21,896"
059083,Logan County,AR,"$60,500"
059085,Lonoke County,AR,"$105,327"
059087,Madison County,AR,"$38,017"
059089,Marion County,AR,"$33,735"
059091,Miller County,AR,"$20,930"
059093,Mississippi County,AR,"$116,384"
059095,Monroe County,AR,"$22,271"
059097,Montgomery County,AR,"$21,170"
059099,Nevada County,AR,"$21,073"
059101,Newton County,AR,"$24,278"
059103,Ouachita County,AR,"$61,247"
059105,Perry County,AR,"$20,457"
059107,Phillips County,AR,"$61,692"
059109,Pike County,AR,"$24,948"
059111,Poinsett County,AR,"$55,892"
059113,Polk County,AR,"$44,718"
059115,Pope County,AR,"$112,939"
059117,Prairie County,AR,"$25,339"
059119,Pulaski County,AR,"$131,965"
059121,Randolph County,AR,"$37,971"
059123,St. Francis County,AR,"$63,680"
059125,Saline County,AR,"$133,713"
059127,Scott County,AR,"$28,146"
059129,Searcy County,AR,"$33,387"
059131,Sebastian County,AR,"$61,598"
059133,Sevier County,AR,"$42,908"
059135,Sharp County,AR,"$35,716"
059137,Stone County,AR,"$31,788"
059139,Union County,AR,"$95,889"
059141,Van Buren County,AR,"$42,402"
059143,Washington County,AR,"$104,542"
059145,White County,AR,"$138,690"
059147,Woodruff County,AR,"$21,503"
059149,Yell County,AR,"$64,852"
060012,Alameda,CA,"$267,261"
060030,Alhambra,CA,"$193,478"
060078,Anaheim,CA,"$2,851,419"
060102,Antioch,CA,"$185,293"
060108,Apple Valley,CA,"$132,185"
060228,Bakersfield,CA,"$2,154,800"
060234,Baldwin Park,CA,"$242,603"
060288,Bellflower,CA,"$219,659"
060324,Berkeley,CA,"$1,680,546"
060450,Buena Park,CA,"$179,378"
060456,Burbank,CA,"$223,542"
060516,Camarillo,CA,"$74,650"
060564,Carlsbad,CA,"$120,548"
060594,Carson,CA,"$163,170"
060624,Cathedral City,CA,"$127,323"
060654,Cerritos,CA,"$57,042"
060684,Chico,CA,"$184,001"
060708,Chino,CA,"$119,719"
060709,Chino Hills,CA,"$77,593"
060720,Chula Vista,CA,"$1,157,416"
060726,Citrus Heights,CA,"$138,698"
060756,Clovis City,CA,"$144,046"
060804,Compton,CA,"$1,033,535"
060810,Concord,CA,"$225,976"
060828,Corona,CA,"$271,836"
060846,Costa Mesa,CA,"$256,815"
060906,Cupertino City,CA,"$77,397"
060930,Daly City,CA,"$238,056"
060942,Davis,CA,"$152,577"
060960,Delano City,CA,"$155,732"
061032,Downey,CA,"$271,418"
061116,El Cajon,CA,"$288,138"
061122,El Centro,CA,"$134,328"
061146,Elk Grove,CA,"$197,800"
061152,El Monte,CA,"$1,218,460"
061212,Encinitas,CA,"$69,271"
061230,Escondido,CA,"$361,504"
061266,Fairfield,CA,"$174,196"
061332,Fontana,CA,"$1,255,339"
061380,Fountain Valley,CA,"$67,217"
061404,Fremont,CA,"$269,006"
061410,Fresno,CA,"$4,227,692"
061416,Fullerton,CA,"$327,839"
061428,Gardena,CA,"$163,396"
061440,Garden Grove,CA,"$1,328,150"
061452,Gilroy City,CA,"$90,730"
061464,Glendale,CA,"$1,176,511"
061470,Glendora City,CA,"$56,423"
061476,Goleta,CA,"$45,831"
061566,Hanford,CA,"$113,641"
061596,Hawthorne,CA,"$287,444"
061602,Hayward,CA,"$351,031"
061614,Hemet,CA,"$187,368"
061638,Hesperia,CA,"$222,896"
061692,Huntington Beach,CA,"$239,925"
061698,Huntington Park,CA,"$880,978"
061728,Indio City,CA,"$216,684"
061740,Inglewood,CA,"$985,718"
061750,Irvine,CA,"$308,076"
061854,Laguna Niguel,CA,"$67,055"
061860,La Habra,CA,"$197,362"
061869,Lake Forest,CA,"$104,597"
061870,Lake Elsinore,CA,"$96,282"
061890,Lakewood,CA,"$120,526"
061896,La Mesa,CA,"$94,435"
061914,Lancaster,CA,"$330,481"
062034,Livermore,CA,"$97,400"
062046,Lodi,CA,"$149,939"
062088,Long Beach,CA,"$3,844,171"
062118,Los Angeles,CA,"$34,389,946"
062148,Lynwood,CA,"$280,426"
062166,Madera,CA,"$222,598"
062240,Menifee,CA,"$109,116"
062250,Merced,CA,"$236,363"
062274,Milpitas City,CA,"$98,433"
