Geo Code,State,Name,FY 2017 PPRN,
059133,AR,Sevier County,"$47,609"
059135,AR,Sharp County,"$40,353"
059137,AR,Stone County,"$34,863"
059139,AR,Union County,"$97,514"
059141,AR,Van Buren County,"$42,448"
059143,AR,Washington County,"$124,626"
059145,AR,White County,"$151,174"
059147,AR,Woodruff County,"$24,859"
059149,AR,Yell County,"$61,566"
060012,CA,Alameda,"$292,650"
060030,CA,Alhambra,"$224,974"
060032,CA,Aliso Viejo,"$62,436"
060078,CA,Anaheim,"$3,112,812"
060102,CA,Antioch,"$206,807"
060108,CA,Apple Valley,"$154,535"
060228,CA,Bakersfield,"$2,451,032"
060234,CA,Baldwin Park,"$260,811"
060288,CA,Bellflower,"$263,781"
060324,CA,Berkeley,"$1,865,523"
060450,CA,Buena Park,"$198,346"
060456,CA,Burbank,"$242,247"
060516,CA,Camarillo,"$77,672"
060564,CA,Carlsbad,"$143,112"
060594,CA,Carson,"$197,878"
060624,CA,Cathedral City,"$145,722"
060654,CA,Cerritos,"$58,572"
060684,CA,Chico,"$197,083"
060708,CA,Chino,"$128,874"
060709,CA,Chino Hills,"$84,962"
060720,CA,Chula Vista,"$1,447,037"
060726,CA,Citrus Heights,"$164,791"
060756,CA,Clovis City,"$185,910"
060804,CA,Compton,"$1,123,830"
060810,CA,Concord,"$248,357"
060828,CA,Corona,"$313,263"
060846,CA,Costa Mesa,"$273,648"
060906,CA,Cupertino City,"$84,992"
060930,CA,Daly City,"$254,613"
060942,CA,Davis,"$156,962"
060960,CA,Delano City,"$168,995"
061032,CA,Downey,"$284,130"
061116,CA,El Cajon,"$342,475"
061122,CA,El Centro,"$133,774"
061146,CA,Elk Grove,"$226,587"
061152,CA,El Monte,"$1,274,600"
061212,CA,Encinitas,"$75,776"
061230,CA,Escondido,"$1,141,425"
061266,CA,Fairfield,"$205,513"
061332,CA,Fontana,"$1,421,939"
061380,CA,Fountain Valley,"$75,700"
061404,CA,Fremont,"$316,808"
061410,CA,Fresno,"$4,769,388"
061416,CA,Fullerton,"$357,143"
061428,CA,Gardena,"$174,569"
061440,CA,Garden Grove,"$1,455,321"
061452,CA,Gilroy City,"$129,852"
061464,CA,Glendale,"$1,238,322"
061470,CA,Glendora City,"$69,485"
061476,CA,Goleta,"$43,230"
061566,CA,Hanford,"$143,782"
061596,CA,Hawthorne,"$318,198"
061602,CA,Hayward,"$388,223"
061614,CA,Hemet,"$207,857"
061638,CA,Hesperia,"$271,900"
